팀,이름,생일,루타,볼넷,사구,안타,타수,타점,홈런,희비,타율,출루율,장타율,OPS
KIA,김선빈,1989-12-18,146,43,1,115,394,40,3,4,0.2918781725888325,0.39849624060150374,0.37055837563451777,0.7690546162360214
KIA,김주찬,1981-03-25,126,17,5,101,337,32,3,3,0.2997032640949555,0.3565217391304348,0.37388724035608306,0.7304089794865178
KIA,나지완,1985-05-19,47,19,3,24,129,17,6,2,0.18604651162790697,0.34328358208955223,0.3643410852713178,0.70762466736087
KIA,류승현,1997-07-01,48,9,4,38,150,14,0,0,0.25333333333333335,0.33116883116883117,0.32,0.6511688311688312
KIA,박찬호,1995-06-05,160,26,4,131,504,49,2,2,0.25992063492063494,0.3156862745098039,0.31746031746031744,0.6331465919701214
KIA,신범수,1998-01-25,23,7,1,12,57,7,2,0,0.21052631578947367,0.3448275862068966,0.40350877192982454,0.7483363581367211
KIA,안치홍,1990-07-02,149,40,1,114,362,49,5,5,0.3149171270718232,0.421195652173913,0.4116022099447514,0.8327978621186645
KIA,유민상,1989-04-13,81,24,3,51,175,26,5,0,0.2914285714285714,0.43820224719101125,0.46285714285714286,0.901059390048154
KIA,이우성,1994-07-17,55,12,2,33,151,22,6,2,0.2185430463576159,0.3032258064516129,0.36423841059602646,0.6674642170476394
KIA,이창진,1991-03-04,153,57,4,108,400,48,6,5,0.27,0.4132029339853301,0.3825,0.7957029339853301
KIA,최형우,1983-12-16,221,85,7,137,456,86,17,7,0.30043859649122806,0.48723404255319147,0.48464912280701755,0.971883165360209
KIA,터커,1990-07-06,171,38,3,111,357,50,9,1,0.31092436974789917,0.42105263157894735,0.4789915966386555,0.9000442282176029
KIA,한승택,1994-06-21,76,27,1,56,251,27,3,2,0.22310756972111553,0.33070866141732286,0.30278884462151395,0.6334975060388368
KIA,황윤호,1993-09-22,49,5,0,37,123,9,1,1,0.3008130081300813,0.3387096774193548,0.3983739837398374,0.7370836611591922
KT,강민국,1992-01-10,26,6,0,24,88,7,0,0,0.2727272727272727,0.3409090909090909,0.29545454545454547,0.6363636363636364
KT,강백호,1999-07-29,217,61,2,147,438,65,13,4,0.3356164383561644,0.47297297297297297,0.4954337899543379,0.9684067629273109
KT,김민혁,1995-11-21,143,32,13,131,466,32,0,5,0.2811158798283262,0.36363636363636365,0.30686695278969955,0.6705033164260632
KT,로하스,1990-05-24,276,49,3,168,521,104,24,5,0.32245681381957775,0.4158790170132325,0.5297504798464492,0.9456294968596817
KT,문상철,1991-04-06,19,4,2,12,60,7,2,2,0.2,0.28125,0.31666666666666665,0.5979166666666667
KT,박경수,1984-03-31,158,55,4,104,421,65,10,6,0.24703087885985747,0.37819025522041766,0.3752969121140142,0.7534871673344319
KT,박승욱,1992-12-04,72,14,2,52,223,15,3,0,0.23318385650224216,0.3022222222222222,0.32286995515695066,0.6250921773791729
KT,송민섭,1991-08-02,18,6,3,16,53,4,0,1,0.3018867924528302,0.43859649122807015,0.33962264150943394,0.7782191327375041
KT,심우준,1995-04-28,133,23,6,109,391,28,3,1,0.27877237851662406,0.34673366834170855,0.340153452685422,0.6868871210271306
KT,오승택,1991-11-18,124,31,4,88,352,35,6,2,0.25,0.3435754189944134,0.3522727272727273,0.6958481462671406
KT,유한준,1981-07-01,222,52,4,159,501,86,14,5,0.31736526946107785,0.4215686274509804,0.4431137724550898,0.8646823999060702
KT,장성우,1990-01-17,124,35,2,96,366,41,7,6,0.26229508196721313,0.35561497326203206,0.33879781420765026,0.6944127874696824
KT,조용호,1989-09-09,67,21,0,55,188,19,0,0,0.2925531914893617,0.40425531914893614,0.35638297872340424,0.7606382978723404
KT,황재균,1987-07-28,209,52,2,127,448,67,20,5,0.28348214285714285,0.3978021978021978,0.46651785714285715,0.8643200549450549
LG,김민성,1988-12-17,138,33,4,97,378,51,8,1,0.2566137566137566,0.34986945169712796,0.36507936507936506,0.714948816776493
LG,김현수,1988-01-12,234,55,6,164,547,84,11,9,0.29981718464351004,0.400355871886121,0.42778793418647165,0.8281438060725926
LG,박용택,1979-04-21,69,18,0,57,206,23,1,3,0.2766990291262136,0.3588516746411483,0.33495145631067963,0.693803130951828
LG,신민재,1996-01-21,22,8,3,19,81,5,0,1,0.2345679012345679,0.35294117647058826,0.2716049382716049,0.6245461147421931
LG,오지환,1990-03-12,180,58,7,120,477,55,9,5,0.25157232704402516,0.3783231083844581,0.37735849056603776,0.7556815989504959
LG,유강남,1992-07-15,192,31,13,118,436,51,17,6,0.2706422018348624,0.35604395604395606,0.44036697247706424,0.7964109285210204
LG,이천웅,1988-10-20,211,60,5,175,566,50,2,1,0.30918727915194344,0.4195804195804196,0.37279151943462896,0.7923719390150485
LG,이형종,1989-06-07,189,44,11,123,432,65,13,10,0.2847222222222222,0.39293598233995586,0.4375,0.8304359823399559
LG,전민수,1989-03-18,30,9,0,23,97,8,0,0,0.23711340206185566,0.32989690721649484,0.30927835051546393,0.6391752577319587
LG,정주현,1990-10-13,126,31,2,93,389,28,2,1,0.2390745501285347,0.32142857142857145,0.32390745501285345,0.645336026441425
LG,조셉,1991-07-16,84,14,4,54,197,36,9,2,0.27411167512690354,0.35467980295566504,0.4263959390862944,0.7810757420419594
LG,채은성,1990-02-06,213,27,12,154,488,73,13,8,0.3155737704918033,0.3799212598425197,0.4364754098360656,0.8163966696785853
LG,페게로,1987-02-22,104,13,2,61,213,46,11,1,0.2863849765258216,0.35185185185185186,0.48826291079812206,0.8401147626499739
NC,강진성,1993-10-19,36,3,4,24,97,14,2,0,0.24742268041237114,0.3069306930693069,0.3711340206185567,0.6780647136878637
NC,권희동,1990-12-30,124,50,7,89,349,41,6,3,0.25501432664756446,0.40668523676880225,0.3553008595988539,0.7619860963676561
NC,김성욱,1993-05-01,112,29,3,67,290,36,9,5,0.23103448275862068,0.33221476510067116,0.38620689655172413,0.7184216616523953
NC,김찬형,1997-12-29,50,6,4,39,141,12,1,1,0.2765957446808511,0.3356164383561644,0.3546099290780142,0.6902263674341786
NC,김태진,1995-10-07,143,16,1,104,376,46,5,3,0.2765957446808511,0.31842105263157894,0.3803191489361702,0.6987402015677491
NC,나성범,1989-10-03,60,12,1,34,93,14,4,0,0.3655913978494624,0.5,0.6451612903225806,1.1451612903225805
NC,노진혁,1989-07-15,162,31,2,93,352,44,14,3,0.26420454545454547,0.35294117647058826,0.4602272727272727,0.813168449197861
NC,모창민,1985-05-08,159,31,3,104,343,55,10,11,0.3032069970845481,0.3865546218487395,0.46355685131195334,0.8501114731606929
NC,박민우,1993-02-06,203,42,9,161,471,45,1,6,0.34182590233545646,0.43621399176954734,0.4309978768577495,0.8672118686272968
NC,박석민,1985-06-22,172,65,12,96,364,74,19,3,0.26373626373626374,0.45646437994722955,0.4725274725274725,0.9289918524747021
NC,베탄코트,1991-09-02,82,18,1,50,203,29,8,2,0.24630541871921183,0.33495145631067963,0.4039408866995074,0.738892343010187
NC,손시헌,1980-10-19,48,5,5,36,135,10,2,0,0.26666666666666666,0.32857142857142857,0.35555555555555557,0.6841269841269841
NC,스몰린스키,1989-02-09,90,17,5,47,208,42,9,2,0.22596153846153846,0.3209302325581395,0.4326923076923077,0.7536225402504473
NC,양의지,1987-06-05,225,48,15,139,394,68,20,6,0.35279187817258884,0.4867469879518072,0.5710659898477157,1.0578129777995229
NC,이명기,1987-12-26,172,48,4,143,488,36,2,4,0.2930327868852459,0.39314516129032256,0.3524590163934426,0.7456041776837652
NC,이원재,1989-05-20,101,20,1,66,256,36,8,3,0.2578125,0.3346153846153846,0.39453125,0.7291466346153845
SK,고종욱,1989-01-11,207,19,1,159,501,56,3,2,0.31736526946107785,0.3551587301587302,0.41317365269461076,0.7683323828533409
SK,김강민,1982-09-13,154,32,5,115,430,49,7,3,0.26744186046511625,0.3470319634703196,0.3581395348837209,0.7051714983540405
SK,김성현,1987-03-09,130,33,3,107,431,34,1,3,0.2482598607888631,0.32723112128146453,0.30162412993039445,0.628855251211859
SK,노수광,1990-08-06,126,46,2,102,393,28,2,0,0.2595419847328244,0.379746835443038,0.32061068702290074,0.7003575224659387
SK,로맥,1985-09-30,263,73,6,142,515,96,30,6,0.2757281553398058,0.41935483870967744,0.5106796116504855,0.930034450360163
SK,배영섭,1986-06-27,18,7,2,17,76,7,0,1,0.2236842105263158,0.3291139240506329,0.23684210526315788,0.5659560293137907
SK,이재원,1988-02-24,177,34,9,122,461,75,12,7,0.2646420824295011,0.34591194968553457,0.3839479392624729,0.7298598889480075
SK,정의윤,1986-07-25,170,30,6,107,384,60,13,2,0.2786458333333333,0.3647959183673469,0.4427083333333333,0.8075042517006803
SK,최정,1987-02-28,261,71,26,147,511,99,29,8,0.2876712328767123,0.44770642201834865,0.5107632093933464,0.9584696314116951
SK,최항,1994-01-03,36,17,2,31,132,14,0,1,0.23484848484848486,0.37037037037037035,0.2727272727272727,0.6430976430976431
SK,한동민,1989-08-09,175,57,20,115,432,56,13,0,0.2662037037037037,0.4247787610619469,0.4050925925925926,0.8298713536545395
두산,김인태,1994-07-03,20,7,0,13,57,7,1,2,0.22807017543859648,0.3389830508474576,0.3508771929824561,0.6898602438299137
두산,김재호,1985-03-21,139,69,8,105,385,51,4,11,0.2727272727272727,0.4504950495049505,0.36103896103896105,0.8115340105439115
두산,김재환,1988-09-22,217,66,5,142,507,91,15,11,0.28007889546351084,0.4072657743785851,0.4280078895463511,0.8352736639249362
두산,류지혁,1994-01-13,79,24,7,69,278,34,0,3,0.24820143884892087,0.3472222222222222,0.2841726618705036,0.6313948840927258
두산,박건우,1990-09-08,219,60,7,149,475,67,11,11,0.3136842105263158,0.4381338742393509,0.4610526315789474,0.8991865058182983
두산,박세혁,1990-01-09,180,44,7,128,453,66,4,5,0.282560706401766,0.3849462365591398,0.3973509933774834,0.7822972299366232
두산,오재일,1986-10-29,236,56,3,140,480,106,21,4,0.2916666666666667,0.4086242299794661,0.49166666666666664,0.9002908966461327
두산,정수빈,1990-10-07,151,61,6,122,456,41,0,5,0.2675438596491228,0.40471092077087795,0.33114035087719296,0.735851271648071
두산,최주환,1988-02-28,105,29,1,80,292,46,4,10,0.273972602739726,0.36303630363036304,0.3595890410958904,0.7226253447262534
두산,페르난데스,1988-04-27,277,63,6,197,581,90,15,6,0.33907056798623064,0.448566610455312,0.47676419965576594,0.925330810111078
두산,허경민,1990-08-26,182,34,18,142,487,62,4,10,0.2915811088295688,0.3766990291262136,0.3737166324435318,0.7504156615697455
롯데,강로한,1992-05-13,108,13,3,69,288,25,4,1,0.23958333333333334,0.2910958904109589,0.375,0.6660958904109588
롯데,고승민,2000-08-11,31,4,0,21,83,6,0,1,0.25301204819277107,0.2976190476190476,0.37349397590361444,0.6711130235226621
롯데,김동한,1988-06-24,26,6,0,22,78,2,0,0,0.28205128205128205,0.358974358974359,0.3333333333333333,0.6923076923076923
롯데,김문호,1987-06-22,32,4,0,25,103,4,0,1,0.24271844660194175,0.27884615384615385,0.3106796116504854,0.5895257654966393
롯데,민병헌,1987-03-10,167,42,5,112,369,43,9,3,0.3035230352303523,0.4217506631299735,0.45257452574525747,0.874325188875231
롯데,손아섭,1988-03-18,205,52,1,151,512,63,10,2,0.294921875,0.39611650485436894,0.400390625,0.7965071298543689
롯데,신본기,1989-03-21,108,24,8,96,375,26,1,1,0.256,0.3333333333333333,0.288,0.6213333333333333
롯데,아수아헤,1991-11-02,60,26,1,41,163,21,2,1,0.25153374233128833,0.4121212121212121,0.36809815950920244,0.7802193716304145
롯데,윌슨,1990-07-29,100,31,5,58,231,37,9,1,0.2510822510822511,0.39662447257383965,0.4329004329004329,0.8295249054742726
롯데,이대호,1982-06-21,211,47,10,138,485,88,16,7,0.2845360824742268,0.3884462151394422,0.4350515463917526,0.8234977615311948
롯데,전준우,1986-02-25,262,46,7,164,545,83,22,7,0.30091743119266057,0.3881932021466905,0.48073394495412847,0.868927147100819
롯데,정훈,1987-07-18,55,23,5,43,190,17,2,1,0.22631578947368422,0.3622448979591837,0.2894736842105263,0.65171858216971
롯데,채태인,1982-10-11,68,11,2,42,167,29,5,2,0.25149700598802394,0.3216374269005848,0.40718562874251496,0.7288230556430997
롯데,허일,1992-11-20,45,12,1,38,149,17,1,0,0.2550335570469799,0.34,0.30201342281879195,0.6420134228187919
삼성,강민호,1985-08-18,140,33,9,81,346,45,13,3,0.23410404624277456,0.3435754189944134,0.4046242774566474,0.7481996964510609
삼성,공민규,1999-09-27,23,6,1,13,53,6,3,0,0.24528301886792453,0.37037037037037035,0.4339622641509434,0.8043326345213138
삼성,구자욱,1993-02-12,211,38,7,127,475,71,15,6,0.2673684210526316,0.3524590163934426,0.4442105263157895,0.7966695427092321
삼성,김도환,2000-04-14,31,8,0,19,93,7,2,1,0.20430107526881722,0.2872340425531915,0.3333333333333333,0.6205673758865249
삼성,김상수,1990-03-23,166,50,15,127,468,38,5,4,0.27136752136752135,0.3942505133470226,0.3547008547008547,0.7489513680478773
삼성,김헌곤,1988-11-09,159,37,8,122,411,46,5,6,0.29683698296836986,0.39294117647058824,0.38686131386861317,0.7798024903392013
삼성,러프,1986-07-28,243,80,7,138,472,101,22,9,0.2923728813559322,0.4610655737704918,0.5148305084745762,0.975896082245068
삼성,박계범,1996-01-11,65,22,5,43,168,25,4,3,0.25595238095238093,0.3977272727272727,0.3869047619047619,0.7846320346320346
삼성,박한이,1979-01-28,28,9,0,19,74,13,2,1,0.25675675675675674,0.37333333333333335,0.3783783783783784,0.7517117117117118
삼성,박해민,1990-02-24,166,58,2,121,506,44,5,3,0.2391304347826087,0.3542074363992172,0.32806324110671936,0.6822706775059366
삼성,송준석,1994-05-04,18,2,1,12,51,4,1,1,0.23529411764705882,0.2830188679245283,0.35294117647058826,0.6359600443951166
삼성,윌리엄슨,1990-07-15,63,13,0,42,154,15,4,1,0.2727272727272727,0.3548387096774194,0.4090909090909091,0.7639296187683284
삼성,이원석,1986-10-21,174,43,8,97,395,76,19,7,0.24556962025316456,0.36097560975609755,0.44050632911392407,0.8014819388700216
삼성,이학주,1990-11-04,142,32,10,101,385,36,7,4,0.2623376623376623,0.3583959899749373,0.36883116883116884,0.7272271588061061
삼성,최영진,1988-05-10,95,14,2,63,251,20,5,0,0.250996015936255,0.31225296442687744,0.3784860557768924,0.6907390202037699
키움,김규민,1993-01-26,82,24,4,61,248,29,3,2,0.24596774193548387,0.35039370078740156,0.33064516129032256,0.6810388620777241
키움,김하성,1995-10-17,283,76,7,177,587,109,20,7,0.30153321976149916,0.43261231281198004,0.48211243611584326,0.9147247489278233
키움,김혜성,1999-01-27,131,30,2,100,386,34,0,6,0.25906735751295334,0.3350253807106599,0.3393782383419689,0.6744036190526288
키움,박동원,1990-04-07,143,35,2,95,327,58,10,1,0.290519877675841,0.4,0.43730886850152906,0.8373088685015291
키움,박병호,1986-07-10,265,85,14,133,475,107,36,9,0.28,0.46586345381526106,0.5578947368421052,1.0237581906573663
키움,박정음,1989-04-15,21,12,5,17,82,7,0,0,0.2073170731707317,0.39080459770114945,0.25609756097560976,0.6469021586767592
키움,샌즈,1987-09-28,296,86,6,170,568,119,28,5,0.2992957746478873,0.4525043177892919,0.5211267605633803,0.9736310783526722
키움,서건창,1989-08-22,180,54,3,142,475,46,2,5,0.29894736842105263,0.41200828157349895,0.37894736842105264,0.7909556499945516
키움,송성문,1996-08-29,119,21,1,82,331,40,3,4,0.24773413897280966,0.30952380952380953,0.3595166163141994,0.6690404258380089
키움,이정후,1998-08-20,283,48,5,212,620,76,6,6,0.3419354838709677,0.41996830427892234,0.45645161290322583,0.8764199171821482
키움,이지영,1986-02-27,109,19,1,98,341,43,1,1,0.2873900293255132,0.34402332361516036,0.3196480938416422,0.6636714174568026
키움,임병욱,1995-09-30,119,23,11,92,379,41,0,0,0.24274406332453827,0.3230769230769231,0.31398416886543534,0.6370610919423585
키움,장영석,1990-05-14,130,27,9,94,377,62,7,5,0.2493368700265252,0.33248081841432225,0.3448275862068966,0.6773084046212188
키움,허정협,1990-02-17,17,7,1,16,68,8,0,1,0.23529411764705882,0.34285714285714286,0.25,0.5928571428571429
한화,강경학,1992-08-11,31,15,3,27,113,12,0,1,0.23893805309734514,0.38461538461538464,0.2743362831858407,0.6589516678012253
한화,김민하,1989-02-25,44,9,3,32,125,14,2,1,0.256,0.34108527131782945,0.352,0.6930852713178295
한화,김태균,1982-05-29,171,54,5,132,433,62,6,8,0.30484988452655887,0.4282511210762332,0.394919168591224,0.8231702896674572
한화,김회성,1985-12-04,37,11,0,24,104,18,3,1,0.23076923076923078,0.3333333333333333,0.3557692307692308,0.6891025641025641
한화,변우혁,2000-03-18,16,7,1,12,53,2,1,0,0.22641509433962265,0.37037037037037035,0.3018867924528302,0.6722571628232006
한화,송광민,1983-06-24,162,21,3,120,454,51,7,5,0.2643171806167401,0.3116883116883117,0.3568281938325991,0.6685165055209108
한화,오선진,1989-07-07,113,38,10,88,392,36,3,3,0.22448979591836735,0.3358024691358025,0.288265306122449,0.6240677752582515
한화,이성열,1984-07-13,192,48,9,106,414,85,21,4,0.2560386473429952,0.38173302107728335,0.463768115942029,0.8455011370193124
한화,장진혁,1993-09-30,109,26,5,80,315,24,1,1,0.25396825396825395,0.34579439252336447,0.346031746031746,0.6918261385551105
한화,정근우,1982-10-02,98,20,4,77,277,30,3,1,0.2779783393501805,0.35815602836879434,0.35379061371841153,0.7119466420872058
한화,정은원,2000-01-17,211,48,0,148,564,57,8,6,0.2624113475177305,0.34385964912280703,0.374113475177305,0.717973124300112
한화,지성준,1994-04-10,38,5,0,26,104,11,2,0,0.25,0.2980769230769231,0.36538461538461536,0.6634615384615384
한화,최재훈,1989-08-27,135,56,14,108,373,31,3,4,0.289544235924933,0.45524296675191817,0.36193029490616624,0.8171732616580845
한화,최진행,1985-08-17,51,9,2,27,117,19,6,1,0.23076923076923078,0.31666666666666665,0.4358974358974359,0.7525641025641026
한화,호잉,1989-05-18,219,38,5,135,476,73,18,5,0.28361344537815125,0.3662551440329218,0.46008403361344535,0.8263391776463671
